,Demand,Lost Load,SC production,Tank outflow,Tank inflow,Boiler production,Electric resistance production,Curtailment,NG consumption,Tank state of charge
2017-01-07 00:00:00,0.0,0.0,0.0,0.03656552925624819,0.0509499835975544,0.0,0.014384454341306214,0.0,0.0,333.34434273979974
2017-01-07 00:01:00,0.0,0.0,0.0,0.01616185085042003,20.05103967499,0.0,20.03487782413958,0.0,0.0,333.3446436637842
2017-01-07 00:02:00,0.0,0.0,0.0,0.002759626017269888,4.604730830402273,0.0,4.601971204385003,0.0,0.0,333.08795254642655
2017-01-07 00:03:00,0.0,0.0,0.0,0.0027826827217886886,0.011752094645666022,0.0,0.008969411923877332,0.0,0.0,332.7549677060335
2017-01-07 00:04:00,0.0,0.0,0.0,0.0027872834535188785,0.008602799383070363,0.0,0.005815515929551485,0.0,0.0,332.4222632088687
2017-01-07 00:05:00,0.0,0.0,0.0,0.002791527600712649,0.012495821165335878,0.0,0.00970429356462323,0.0,0.0,332.08995615842593
2017-01-07 00:06:00,0.0,0.0,0.0,0.002787674764045362,0.013091620195021799,0.0,0.010303945430976437,0.0,0.0,331.75799147490477
2017-01-07 00:07:00,0.0,0.0,0.0,0.002782506940402986,0.014188337890807583,0.0,0.011405830950404598,0.0,0.0,331.4263772054967
2017-01-07 00:08:00,0.0,0.0,0.0,0.0027763364888223315,0.015238411303478732,0.0,0.012462074814656401,0.0,0.0,331.0951122572632
2017-01-07 00:09:00,0.0,0.0,0.0,0.002768914241781016,0.017515896386855967,0.0,0.01474698214507495,0.0,0.0,330.76421677947104
2017-01-07 00:10:00,0.0,0.0,0.0,0.0027607520364002335,0.010264998688092422,0.0,0.007504246651692189,0.0,0.0,330.4335316209352
2017-01-07 00:11:00,0.0,0.0,0.0,0.0027504970263574893,0.009776552861435243,0.0,0.007026055835077755,0.0,0.0,330.103169348827
2017-01-07 00:12:00,0.0,0.0,0.0,0.0027389781531651884,0.009240898564795307,0.0,0.0065019204116301185,0.0,0.0,329.7731288951825
2017-01-07 00:13:00,0.0,0.0,0.0,0.0027262588408525955,0.0126002530494824,0.0,0.009873994208629805,0.0,0.0,329.44347489521004
2017-01-07 00:14:00,0.0,0.0,0.0,0.00271244655919495,0.012277765374644097,0.0,0.009565318815449145,0.0,0.0,329.1141456348524
2017-01-07 00:15:00,0.0,0.0,0.0,0.002698094117009913,0.012273700286400673,0.0,0.009575606169390759,0.0,0.0,328.7851461144184
2017-01-07 00:16:00,0.0,0.0,0.0,0.002682558209088375,0.008603803125465513,0.0,0.005921244916377138,0.0,0.0,328.4564149476464
2017-01-07 00:17:00,0.0,0.0,0.0,0.00266639580659907,0.012118333019665677,0.0,0.009451937213066607,0.0,0.0,328.1280716250555
2017-01-07 00:18:00,0.0,0.0,0.0,0.0026497652321913383,0.012149361721081317,0.0,0.00949959648888998,0.0,0.0,327.80005771728474
2017-01-07 00:19:00,0.0,0.0,0.0,0.0026328152039788505,0.012012291965908532,0.0,0.00937947676192968,0.0,0.0,327.4723701039267
2017-01-07 00:20:00,0.0,0.0,0.0,0.002615976112176511,0.012076278343374238,0.0,0.009460302231197728,0.0,0.0,327.14501180592475
2017-01-07 00:21:00,0.0,0.0,0.0,0.0025987248393723695,0.011992539424009928,0.0,0.009393814584637557,0.0,0.0,326.8179800453617
2017-01-07 00:22:00,0.0,0.0,0.0,0.0025815098379657897,0.01176844734375395,0.0,0.00918693750578816,0.0,0.0,326.4912721557775
2017-01-07 00:23:00,0.0,0.0,0.0,0.00256442060331483,0.011714868883196103,0.0,0.009150448279881273,0.0,0.0,326.1648906507496
2017-01-07 00:24:00,9.787,1.1655081009745142e-05,0.0,0.0032099128235993316,0.014376252464522565,9.781983939596136,0.016170744963776046,0.0,18.37199297497584,325.83894177396786
2017-01-07 00:25:00,9.787,1.1655155487505124e-05,0.0,0.003205371464220585,0.014319664229509144,9.78181693136975,0.016285706240050823,0.0,18.371679309161124,325.5133208377735
2017-01-07 00:26:00,0.0,0.0,0.0,0.0025151833900859876,0.011598403415237712,0.0,0.009083220025151724,0.0,0.0,325.187916985019
2017-01-07 00:27:00,0.0,0.0,0.0,0.002499448657382714,0.011527433726599546,0.0,0.009027985069216832,0.0,0.0,324.8628378769742
2017-01-07 00:28:00,0.0,0.0,0.0,0.0024840627834924692,0.011438991874689807,0.0,0.008954929091197338,0.0,0.0,324.538082886869
2017-01-07 00:29:00,0.0,0.0,0.0,0.00246905670835626,0.008526924038508011,0.0,0.006057867330151751,0.0,0.0,324.2136046174925
2017-01-07 00:30:00,0.0,0.0,0.0,0.0024548463148193617,2.64867283658585,0.0,2.6462179902710306,0.0,0.0,323.9334537319409
2017-01-07 00:31:00,0.0,0.0,0.0,0.002440619939435856,4.396924180343263,0.0,4.3944835604038275,0.0,0.0,323.6827209939853
2017-01-07 00:32:00,0.0,0.0,0.0,0.002426822748011122,9.979613800025545,0.0,9.977186977277533,0.0,0.0,323.5252842755668
2017-01-07 00:33:00,0.0,0.0,0.0,0.0024134724547308787,14.99656638101779,0.0,14.99415290856306,0.0,0.0,323.4516213152263
2017-01-07 00:34:00,0.0,0.0,0.0,0.0024005835642461866,16.432100684902306,0.0,16.42970010133806,0.0,0.0,323.40195801920726
2017-01-07 00:35:00,0.0,0.0,0.0,0.0023889270218512074,20.148234891787116,0.0,20.145845964765265,0.0,0.0,323.4142803451505
2017-01-07 00:36:00,0.0,0.0,0.0,0.0023769460771124722,19.51315134769008,0.0,19.510774401612966,0.0,0.0,323.41600602306573
