,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption,BESS state of charge
2017-01-07 09:59:00,94.386,0.0,0.0017482680979675203,26.900042563141312,1.2544882945688896e-05,7.277778303758345e-05,8.399709125275117e-05,121.28778950566455,0.6847774926923247,0.00046076736278386995
2017-01-07 10:00:00,92.052,0.0,0.0017026353170138979,29.234164684280444,1.3509873941511118e-05,7.224653070722639e-05,8.45465830320406e-05,121.28786610977585,0.6847779251906947,0.00046083853402034697
2017-01-07 10:01:00,93.345,0.0,0.0018829797374274643,27.94073188630489,1.3509873941511118e-05,7.21489024598741e-05,8.463992678730948e-05,121.2876138471927,0.6847765009439516,0.00046091361831154343
2017-01-07 10:02:00,91.387,0.0,0.001849216301418584,29.898811882440775,1.3509873941511118e-05,7.213310458464614e-05,8.465385373748353e-05,121.2876601096174,0.684776762136503,0.00046098847793283167
2017-01-07 10:03:00,91.42,0.0,0.0018478011861955193,29.865814823026554,1.3509873941511118e-05,7.216159952357605e-05,8.462558454974556e-05,121.28766157832383,0.6847767704286576,0.0004610623900474381
2017-01-07 10:04:00,92.122,0.0,0.0017071451068821266,29.164149792359396,1.3509873941511118e-05,7.226659815962036e-05,8.452712981894364e-05,121.287855688124,0.684777866351197,0.0004611329012141395
2017-01-07 10:05:00,89.621,0.0,0.0016750771873730965,31.665228701179927,1.3509873941511118e-05,7.244859552538879e-05,8.436513126968342e-05,121.2879021850291,0.6847781288675988,0.00046119765446756933
2017-01-07 10:06:00,87.916,0.0,0.0018128687973024177,33.3698957190686,1.3509873941511118e-05,7.226730420520976e-05,8.454389718499274e-05,121.28770735458494,0.6847770288763829,0.0004612691410664686
2017-01-07 10:07:00,87.377,0.0,0.0018052660025762997,33.90891452286894,1.3509873941511118e-05,7.230334222145074e-05,8.450760743996619e-05,121.2877184832628,0.6847770917076716,0.00046133869849617246
2017-01-07 10:08:00,90.683,0.0,0.0018349482420364598,30.602844076016176,1.3509873941511118e-05,7.233095852236213e-05,8.447740212547816e-05,121.28767766082788,0.6847768612287031,0.00046140729317855635
2017-01-07 10:09:00,90.856,0.0,0.0016929065171024196,30.430182107635442,1.3509873941511118e-05,7.245514520518883e-05,8.435931023943158e-05,121.28787340844363,0.6847779663981687,0.00046147183935901065
2017-01-07 10:10:00,93.263,0.0,0.0017330901645798568,28.023095491990446,1.4539197670388156e-05,7.172521207137166e-05,8.510608744674456e-05,121.28782742383274,0.6847777067741234,0.00046156101535636704
2017-01-07 10:11:00,95.292,0.0,0.0017803469761417945,25.9939831258435,1.4539197670388156e-05,7.166810948160357e-05,8.516347453266698e-05,121.28776242898702,0.6847773398203875,0.000461652824118056
2017-01-07 10:12:00,96.579,0.0,0.00183570984331877,24.70684607127978,1.4539197670388156e-05,7.152925660511639e-05,8.530424163616385e-05,121.28768101691045,0.6847768801767754,0.0004617485753719423
2017-01-07 10:13:00,98.764,0.0,0.0019072975646706547,22.521670211782194,1.4539197670388156e-05,7.136502986392293e-05,8.547025914331139e-05,121.28757707537846,0.684776293334341,0.0004618498364072566
2017-01-07 10:14:00,96.998,0.0,0.0018452765228939713,24.287822602916986,1.4539197670388156e-05,7.150002715220665e-05,8.533238075727117e-05,121.28766717259582,0.6847768020133007,0.0004619465459946466
2017-01-07 10:15:00,100.531,0.0,0.0019803726974021007,20.75449768254755,1.4539197670388156e-05,7.125830569924946e-05,8.55970301068406e-05,121.2874778547717,0.68477573314573,0.0004620516865906497
2017-01-07 10:16:00,100.285,0.0,0.0019655723181514033,21.00053134325063,1.4539197670388156e-05,7.132916064502698e-05,8.552594385332024e-05,121.28749657315431,0.6847758388276554,0.000462155180920761
2017-01-07 10:17:00,102.267,0.0,0.0020725279847505747,19.01828684747322,1.4539197670388156e-05,7.098708199609324e-05,8.586760587936154e-05,121.28735971678418,0.6847750661516722,0.00046226936394374397
2017-01-07 10:18:00,103.164,0.0,0.0021220974439204033,18.121179081699246,1.4539197670388156e-05,7.073019631743496e-05,8.612406534887855e-05,121.28730203381453,0.6847747404799827,0.0004623921143412866
2017-01-07 10:19:00,105.608,0.0,0.002284756753332763,15.676834865625384,1.4539197670388156e-05,7.004601992065463e-05,8.680731973490627e-05,121.28712184448086,0.684773723150863,0.000462537686027955
2017-01-07 10:20:00,104.695,0.0,0.002206715631120129,16.59001430717514,1.5439855933155562e-05,6.991108957301237e-05,8.696487425131826e-05,121.287222636735,0.6847742922128218,0.00046268811952688134
2017-01-07 10:21:00,103.506,0.0,0.0021298442973298123,17.779169765554393,1.5439855933155562e-05,7.031993595821648e-05,8.655497049336622e-05,121.28730040503032,0.6847747312840465,0.00046282561247505796
2017-01-07 10:22:00,105.901,0.0,0.00234155838683064,15.383717722624798,1.5439855933155562e-05,6.923651828813455e-05,8.763772803220874e-05,121.28706224236544,0.684773386643888,0.00046299853407612697
2017-01-07 10:23:00,107.211,0.0,0.0024650038692389173,14.073451309035494,1.5439855933155562e-05,6.854848806683755e-05,8.830441088338164e-05,121.28692062897161,0.6847725871102733,0.000463194082194643
